transaction_id,transaction_date,customer_id,product_id,quantity
TRANS000001,2024-02-24,CUST0226,PROD021,2.0
TRANS000002,2024-01-15,CUST0825,PROD048,3.0
TRANS000003,2024-03-10,CUST0218,PROD017,4.0
TRANS000004,2024-01-29,CUST0937,PROD040,3.0
TRANS000005,2024-03-23,CUST0753,PROD019,1.0
TRANS000006,2024-01-20,CUST0506,PROD015,3.0
TRANS000007,2024-02-04,CUST0259,PROD009,1.0
TRANS000008,2024-01-19,CUST0888,PROD010,3.0
TRANS000009,2024-01-10,CUST0774,PROD044,1.0
TRANS000010,2024-01-08,CUST0517,PROD031,2.0
TRANS000011,2024-01-22,CUST0773,PROD023,
TRANS000012,2024-02-09,CUST0054,PROD030,1.0
TRANS000013,2024-03-17,CUST0047,PROD033,3.0
TRANS000014,2024-03-13,CUST0727,PROD009,
TRANS000015,2024-02-06,CUST0689,PROD047,2.0
TRANS000016,2024-02-26,CUST0521,PROD001,1.0
TRANS000017,2024-01-16,CUST0099,PROD044,4.0
TRANS000018,2024-02-29,CUST0020,PROD035,3.0
TRANS000019,2024-03-29,CUST0890,PROD011,4.0
TRANS000020,2024-02-08,CUST0753,PROD034,3.0
TRANS000021,2024-03-30,CUST0573,PROD016,2.0
TRANS000022,2024-02-21,CUST0891,PROD009,4.0
TRANS000023,2024-02-04,CUST0490,PROD032,2.0
TRANS000024,2024-03-05,CUST0419,PROD015,1.0
TRANS000025,2024-03-10,CUST0690,PROD012,3.0
TRANS000026,2024-03-04,CUST0850,PROD033,3.0
TRANS000027,2024-02-26,CUST0062,PROD045,2.0
TRANS000028,2024-01-11,CUST0145,PROD014,2.0
TRANS000029,2024-03-17,CUST0216,PROD008,1.0
TRANS000030,2024-01-06,CUST0003,PROD008,4.0
TRANS000031,2024-02-25,CUST0160,PROD027,3.0
TRANS000032,2024-02-11,CUST0739,PROD012,3.0
TRANS000033,2024-03-18,CUST0998,PROD001,1.0
TRANS000034,2024-02-02,CUST0781,PROD043,1.0
TRANS000035,2024-01-04,CUST0120,PROD040,2.0
TRANS000036,2024-01-12,CUST0893,PROD042,2.0
TRANS000037,2024-01-30,CUST0089,PROD011,4.0
TRANS000038,2024-03-27,CUST0329,PROD039,1.0
TRANS000039,2024-03-14,CUST0580,PROD043,4.0
TRANS000040,2024-03-16,CUST0910,PROD031,1.0
TRANS000041,2024-01-03,CUST0357,PROD017,3.0
TRANS000042,2024-03-27,CUST0610,PROD033,1.0
TRANS000043,2024-02-04,CUST0267,PROD032,1.0
TRANS000044,2024-03-14,CUST0617,PROD029,3.0
TRANS000045,2024-01-06,CUST0952,PROD021,1.0
TRANS000046,2024-01-23,CUST0323,PROD021,4.0
TRANS000047,2024-03-01,CUST0635,PROD040,2.0
TRANS000048,2024-03-07,CUST0988,PROD023,2.0
TRANS000049,2024-03-24,CUST0541,PROD006,4.0
TRANS000050,2024-02-26,CUST0649,PROD022,3.0
TRANS000051,2024-02-05,CUST0195,PROD050,1.0
TRANS000052,2024-01-24,CUST0921,PROD038,4.0
TRANS000053,2024-03-15,CUST0738,PROD037,2.0
TRANS000054,2024-02-25,CUST0332,PROD045,2.0
TRANS000055,2024-03-22,CUST0170,PROD008,4.0
TRANS000056,2024-03-03,CUST0521,PROD041,2.0
TRANS000057,2024-01-12,CUST0463,PROD049,4.0
TRANS000058,2024-03-01,CUST0040,PROD035,2.0
TRANS000059,2024-02-14,CUST0537,PROD011,4.0
TRANS000060,2024-02-22,CUST0261,PROD024,1.0
TRANS000061,2024-02-12,CUST0395,PROD049,1.0
TRANS000062,2024-02-11,CUST0955,PROD021,1.0
TRANS000063,2024-03-26,CUST0226,PROD002,1.0
TRANS000064,2024-01-14,CUST0984,PROD040,2.0
TRANS000065,2024-01-21,CUST0124,PROD019,3.0
TRANS000066,2024-02-12,CUST0975,PROD039,4.0
TRANS000067,2024-02-22,CUST0038,PROD028,3.0
TRANS000068,2024-03-29,CUST0328,PROD017,2.0
TRANS000069,2024-03-04,CUST0251,PROD006,2.0
TRANS000070,2024-02-06,CUST0901,PROD019,3.0
TRANS000071,2024-03-25,CUST0176,PROD038,3.0
TRANS000072,2024-02-21,CUST0602,PROD028,2.0
TRANS000073,2024-03-11,CUST0914,PROD002,2.0
TRANS000074,2024-01-05,CUST0454,PROD038,4.0
TRANS000075,2024-02-28,CUST0037,PROD037,1.0
TRANS000076,2024-01-12,CUST0316,PROD004,1.0
TRANS000077,2024-02-10,CUST0688,PROD022,4.0
TRANS000078,2024-02-02,CUST0973,PROD026,3.0
TRANS000079,2024-02-11,CUST0796,PROD049,2.0
TRANS000080,2024-01-15,CUST0965,PROD043,3.0
TRANS000081,2024-02-21,CUST0973,PROD036,1.0
TRANS000082,2024-03-06,CUST0593,PROD013,1.0
TRANS000083,2024-01-01,CUST0114,PROD032,3.0
TRANS000084,2024-03-25,CUST0040,PROD017,1.0
TRANS000085,2024-03-10,CUST0301,PROD041,2.0
TRANS000086,2024-02-29,CUST0224,PROD036,4.0
TRANS000087,2024-02-22,CUST0318,PROD046,3.0
TRANS000088,2024-01-07,CUST0349,PROD019,2.0
TRANS000089,2024-01-25,CUST0115,PROD035,2.0
TRANS000090,2024-03-07,CUST0698,PROD046,1.0
TRANS000091,2024-02-16,CUST0323,PROD040,2.0
TRANS000092,2024-03-20,CUST0568,PROD028,3.0
TRANS000093,2024-03-04,CUST0040,PROD001,2.0
TRANS000094,2024-03-21,CUST0866,PROD042,4.0
TRANS000095,2024-02-26,CUST0040,PROD018,2.0
TRANS000096,2024-01-07,CUST0859,PROD048,2.0
TRANS000097,2024-01-27,CUST0973,PROD040,4.0
TRANS000098,2024-02-04,CUST0749,PROD033,2.0
TRANS000099,2024-03-11,CUST0289,PROD012,2.0
TRANS000100,2024-01-17,CUST0262,PROD008,1.0
TRANS000101,2024-02-06,CUST0216,PROD024,3.0
TRANS000102,2024-02-26,CUST0147,PROD016,1.0
TRANS000103,2024-03-30,CUST0336,PROD050,3.0
TRANS000104,2024-03-03,CUST0168,PROD004,4.0
TRANS000105,2024-01-16,CUST0092,PROD038,4.0
TRANS000106,2024-01-04,CUST0353,PROD044,4.0
TRANS000107,2024-03-21,CUST0571,PROD027,3.0
TRANS000108,2024-03-18,CUST0571,PROD009,3.0
TRANS000109,2024-01-31,CUST0816,PROD047,3.0
TRANS000110,2024-03-31,CUST0681,PROD016,4.0
TRANS000111,2024-01-21,CUST0781,PROD012,3.0
TRANS000112,2024-02-09,CUST0363,PROD031,2.0
TRANS000113,2024-03-11,CUST0557,PROD024,1.0
TRANS000114,2024-01-02,CUST0345,PROD014,4.0
TRANS000115,2024-03-11,CUST0693,PROD045,1.0
TRANS000116,2024-02-22,CUST0170,PROD025,2.0
TRANS000117,2024-01-12,CUST0356,PROD034,3.0
TRANS000118,2024-01-29,CUST0191,PROD003,1.0
TRANS000119,2024-01-15,CUST0667,PROD024,2.0
TRANS000120,2024-02-29,CUST0422,PROD042,2.0
TRANS000121,2024-01-16,CUST0700,PROD009,1.0
TRANS000122,2024-03-23,CUST0007,PROD026,4.0
TRANS000123,2024-01-20,CUST0133,PROD020,1.0
TRANS000124,2024-03-04,CUST0747,PROD040,4.0
TRANS000125,2024-02-07,CUST0557,PROD010,3.0
TRANS000126,2024-03-06,CUST0826,PROD019,4.0
TRANS000127,2024-03-31,CUST0761,PROD003,3.0
TRANS000128,2024-02-04,CUST0031,PROD024,1.0
TRANS000129,2024-02-23,CUST0535,PROD005,3.0
TRANS000130,2024-03-02,CUST0426,PROD003,2.0
TRANS000131,2024-03-01,CUST0394,PROD027,3.0
TRANS000132,2024-02-01,CUST0672,PROD016,4.0
TRANS000133,2024-02-28,CUST0363,PROD049,4.0
TRANS000134,2024-03-11,CUST0437,PROD015,4.0
TRANS000135,2024-01-19,CUST0670,PROD035,3.0
TRANS000136,2024-02-19,CUST0551,PROD012,4.0
TRANS000137,2024-01-25,CUST0927,PROD041,4.0
TRANS000138,2024-03-17,CUST0082,PROD044,2.0
TRANS000139,2024-03-06,CUST0356,PROD026,3.0
TRANS000140,2024-01-18,CUST0258,PROD047,
TRANS000141,2024-01-09,CUST0718,PROD034,4.0
TRANS000142,2024-02-05,CUST0589,PROD023,4.0
TRANS000143,2024-02-23,CUST0989,PROD031,4.0
TRANS000144,2024-02-13,CUST0524,PROD050,3.0
TRANS000145,2024-03-05,CUST0295,PROD020,1.0
TRANS000146,2024-02-04,CUST0962,PROD012,4.0
TRANS000147,2024-01-01,CUST0224,PROD023,4.0
TRANS000148,2024-02-06,CUST0525,PROD004,4.0
TRANS000149,2024-02-08,CUST0046,PROD023,4.0
TRANS000150,2024-03-16,CUST0667,PROD048,3.0
TRANS000151,2024-03-15,CUST0113,PROD048,1.0
TRANS000152,2024-03-25,CUST0233,PROD001,1.0
TRANS000153,2024-03-03,CUST0017,PROD025,1.0
TRANS000154,2024-01-20,CUST0360,PROD002,4.0
TRANS000155,2024-02-27,CUST0223,PROD030,4.0
TRANS000156,2024-03-09,CUST0866,PROD003,1.0
TRANS000157,2024-03-02,CUST0700,PROD021,1.0
TRANS000158,2024-02-14,CUST0448,PROD025,4.0
TRANS000159,2024-02-12,CUST0856,PROD020,4.0
TRANS000160,2024-03-11,CUST0365,PROD049,2.0
TRANS000161,2024-03-10,CUST0675,PROD022,2.0
TRANS000162,2024-02-18,CUST0326,PROD021,2.0
TRANS000163,2024-02-28,CUST0467,PROD033,1.0
TRANS000164,2024-02-11,CUST0414,PROD038,3.0
TRANS000165,2024-01-25,CUST0455,PROD015,4.0
TRANS000166,2024-03-30,CUST0586,PROD046,2.0
TRANS000167,2024-01-31,CUST0233,PROD015,3.0
TRANS000168,2024-03-14,CUST0224,PROD046,4.0
TRANS000169,2024-02-19,CUST0994,PROD025,3.0
TRANS000170,2024-01-30,CUST0831,PROD021,1.0
TRANS000171,2024-02-22,CUST0412,PROD024,1.0
TRANS000172,2024-01-06,CUST0572,PROD005,1.0
TRANS000173,2024-02-10,CUST0335,PROD006,2.0
TRANS000174,2024-03-01,CUST0222,PROD049,4.0
TRANS000175,2024-03-31,CUST0037,PROD043,1.0
TRANS000176,2024-02-18,CUST0989,PROD048,2.0
TRANS000177,2024-02-19,CUST0278,PROD044,2.0
TRANS000178,2024-03-25,CUST0196,PROD047,2.0
TRANS000179,2024-03-24,CUST0916,PROD023,2.0
TRANS000180,2024-01-20,CUST0864,PROD004,1.0
TRANS000181,2024-03-04,CUST0484,PROD027,2.0
TRANS000182,2024-01-05,CUST0242,PROD018,1.0
TRANS000183,2024-01-17,CUST0324,PROD021,1.0
TRANS000184,2024-03-05,CUST0731,PROD028,2.0
TRANS000185,2024-03-16,CUST0192,PROD035,1.0
TRANS000186,2024-02-12,CUST0017,PROD022,4.0
TRANS000187,2024-01-13,CUST0524,PROD040,4.0
TRANS000188,2024-02-26,CUST0918,PROD023,3.0
TRANS000189,2024-01-13,CUST0401,PROD003,4.0
TRANS000190,2024-03-08,CUST0906,PROD040,1.0
TRANS000191,2024-02-28,CUST0886,PROD050,1.0
TRANS000192,2024-01-02,CUST0705,PROD010,4.0
TRANS000193,2024-01-19,CUST0022,PROD025,2.0
TRANS000194,2024-02-22,CUST0474,PROD049,2.0
TRANS000195,2024-03-24,CUST0120,PROD008,1.0
TRANS000196,2024-01-20,CUST0210,PROD011,2.0
TRANS000197,2024-01-10,CUST0306,PROD005,3.0
TRANS000198,2024-03-01,CUST0270,PROD045,3.0
TRANS000199,2024-02-03,CUST0704,PROD037,4.0
TRANS000200,2024-02-13,CUST0687,PROD045,4.0
TRANS000201,2024-03-20,CUST0285,PROD038,2.0
TRANS000202,2024-03-29,CUST0716,PROD029,1.0
TRANS000203,2024-02-20,CUST0676,PROD005,4.0
TRANS000204,2024-03-24,CUST0763,PROD009,3.0
TRANS000205,2024-01-11,CUST0227,PROD048,4.0
TRANS000206,2024-02-12,CUST0948,PROD002,4.0
TRANS000207,2024-03-27,CUST0381,PROD001,3.0
TRANS000208,2024-03-09,CUST0460,PROD040,1.0
TRANS000209,2024-02-18,CUST0007,PROD030,4.0
TRANS000210,2024-02-10,CUST0029,PROD011,4.0
TRANS000211,2024-03-21,CUST0907,PROD028,4.0
TRANS000212,2024-03-03,CUST0033,PROD044,2.0
TRANS000213,2024-03-10,CUST0646,PROD012,4.0
TRANS000214,2024-01-05,CUST0879,PROD039,3.0
TRANS000215,2024-03-20,CUST0079,PROD026,1.0
TRANS000216,2024-01-09,CUST0928,PROD013,1.0
TRANS000217,2024-01-31,CUST0947,PROD008,3.0
TRANS000218,2024-03-21,CUST0459,PROD028,2.0
TRANS000219,2024-03-28,CUST0570,PROD030,858.0
TRANS000220,2024-02-06,CUST0983,PROD009,1.0
TRANS000221,2024-01-30,CUST0538,PROD039,3.0
TRANS000222,2024-01-12,CUST0482,PROD031,2.0
TRANS000223,2024-02-25,CUST0430,PROD021,1.0
TRANS000224,2024-01-13,CUST0738,PROD047,2.0
TRANS000225,2024-03-22,CUST0285,PROD034,3.0
TRANS000226,2024-03-31,CUST0516,PROD031,4.0
TRANS000227,2024-01-13,CUST0977,PROD025,3.0
TRANS000228,2024-02-26,CUST0099,PROD012,2.0
TRANS000229,2024-01-22,CUST0397,PROD001,3.0
TRANS000230,2024-03-29,CUST0489,PROD022,4.0
TRANS000231,2024-02-08,CUST0039,PROD040,2.0
TRANS000232,2024-01-04,CUST0271,PROD037,3.0
TRANS000233,2024-01-06,CUST0887,PROD047,2.0
TRANS000234,2024-02-11,CUST0797,PROD001,2.0
TRANS000235,2024-01-08,CUST0157,PROD001,1.0
TRANS000236,2024-02-07,CUST0075,PROD042,1.0
TRANS000237,2024-02-15,CUST0884,PROD042,2.0
TRANS000238,2024-02-17,CUST0800,PROD021,3.0
TRANS000239,2024-02-25,CUST0130,PROD015,3.0
TRANS000240,2024-01-19,CUST0687,PROD017,3.0
TRANS000241,2024-02-01,CUST0974,PROD022,4.0
TRANS000242,2024-03-08,CUST0084,PROD038,2.0
TRANS000243,2024-02-22,CUST0022,PROD035,2.0
TRANS000244,2024-03-13,CUST0459,PROD045,4.0
TRANS000245,2024-03-28,CUST0539,PROD016,2.0
TRANS000246,2024-01-24,CUST0707,PROD008,2.0
TRANS000247,2024-01-22,CUST0849,PROD047,4.0
TRANS000248,2024-01-23,CUST0382,PROD017,1.0
TRANS000249,2024-01-11,CUST0748,PROD017,2.0
TRANS000250,2024-03-19,CUST0440,PROD026,4.0
TRANS000251,2024-02-18,CUST0604,PROD013,3.0
TRANS000252,2024-03-20,CUST0989,PROD017,1.0
TRANS000253,2024-03-28,CUST0021,PROD038,3.0
TRANS000254,2024-01-31,CUST0303,PROD017,2.0
TRANS000255,2024-03-04,CUST0976,PROD048,1.0
TRANS000256,2024-03-15,CUST0869,PROD014,4.0
TRANS000257,2024-01-19,CUST0955,PROD045,2.0
TRANS000258,2024-01-30,CUST0084,PROD006,4.0
TRANS000259,2024-02-29,CUST0774,PROD035,1.0
TRANS000260,2024-03-22,CUST0659,PROD046,3.0
TRANS000261,2024-02-02,CUST0953,PROD014,2.0
TRANS000262,2024-02-28,CUST0453,PROD047,2.0
TRANS000263,2024-02-02,CUST0387,PROD008,4.0
TRANS000264,2024-03-26,CUST0507,PROD015,1.0
TRANS000265,2024-01-02,CUST0257,PROD027,4.0
TRANS000266,2024-02-29,CUST0570,PROD013,1.0
TRANS000267,2024-02-06,CUST0892,PROD049,2.0
TRANS000268,2024-03-27,CUST0934,PROD031,1.0
TRANS000269,2024-03-10,CUST0527,PROD035,2.0
TRANS000270,2024-01-21,CUST0162,PROD006,1.0
TRANS000271,2024-01-10,CUST0957,PROD005,3.0
TRANS000272,2024-02-26,CUST0163,PROD022,1.0
TRANS000273,2024-02-14,CUST0832,PROD049,3.0
TRANS000274,2024-03-16,CUST0793,PROD023,1.0
TRANS000275,2024-02-08,CUST0792,PROD025,1.0
TRANS000276,2024-03-22,CUST0524,PROD034,4.0
TRANS000277,2024-02-24,CUST0786,PROD026,4.0
TRANS000278,2024-03-29,CUST0271,PROD047,2.0
TRANS000279,2024-02-02,CUST0492,PROD005,4.0
TRANS000280,2024-02-28,CUST0208,PROD026,1.0
TRANS000281,2024-02-08,CUST0539,PROD020,4.0
TRANS000282,2024-01-26,CUST0584,PROD006,1.0
TRANS000283,2024-02-19,CUST0060,PROD006,3.0
TRANS000284,2024-03-02,CUST0430,PROD050,1.0
TRANS000285,2024-01-14,CUST0985,PROD018,2.0
TRANS000286,2024-01-31,CUST0657,PROD004,3.0
TRANS000287,2024-02-18,CUST0605,PROD017,2.0
TRANS000288,2024-03-14,CUST0309,PROD014,2.0
TRANS000289,2024-02-15,CUST0520,PROD014,2.0
TRANS000290,2024-03-14,CUST0591,PROD013,4.0
TRANS000291,2024-02-07,CUST0027,PROD007,
TRANS000292,2024-03-30,CUST0686,PROD044,3.0
TRANS000293,2024-02-07,CUST0562,PROD015,1.0
TRANS000294,2024-01-03,CUST0199,PROD019,2.0
TRANS000295,2024-03-25,CUST0387,PROD043,3.0
